"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:24:54 PM",
,
,
,
Wavelength,System Throughput
3954.66,0.00734694
3964.74,0.0154592
3976.25,0.0284694
3986.33,0.0468367
3996.4,0.0678061
4006.48,0.0892347
4015.11,0.108367
4025.19,0.124286
4035.26,0.136378
4045.34,0.145714
4055.42,0.152143
4066.93,0.1575
4077.01,0.161786
4095.72,0.167143
4146.1,0.17648
4187.84,0.186429
4216.62,0.19301
4248.29,0.195918
4267,0.195918
4288.59,0.194847
4318.82,0.199133
4338.97,0.203571
4357.68,0.206633
4377.83,0.208929
4425.33,0.208929
4448.36,0.210765
4480.03,0.218418
4510.26,0.223776
4540.48,0.226071
4580.78,0.228061
4609.57,0.228214
4661.39,0.223929
4710.33,0.223776
4741.99,0.229286
4770.78,0.233418
4801.01,0.235714
4831.23,0.236786
4861.46,0.238776
4911.84,0.238929
4953.58,0.233418
5001.08,0.228214
5022.67,0.228061
5073.05,0.230204
5123.43,0.2325
5205.47,0.2325
5244.33,0.234643
5274.56,0.235561
5304.79,0.234031
5326.38,0.229286
5356.6,0.22148
5385.39,0.218418
5417.06,0.2175
5438.65,0.215204
5466,0.211071
5477.51,0.20648
5487.59,0.195
5497.66,0.171429
5506.3,0.133316
5517.81,0.0916837
5526.45,0.0564796
5536.52,0.0327551
5546.6,0.017602
5558.11,0.00964286
5566.75,0.00642857
